,city,detailed_location,tipology,price,area,area_per_square_meter,bathrooms,apartament_state
7213,Porto,"Mafamude e Vilar do Paraíso, Vila Nova de Gaia, Porto",T2,150 000 €,100 m²,1 500 €/m²,Casas de Banho: 2,Usado
7214,Porto,"Mafamude e Vilar do Paraíso, Vila Nova de Gaia, Porto",T4,450 000 €,300 m²,1 500 €/m²,Casas de Banho: 3,Novo
7215,Lisboa,"Lumiar, Lisboa",T2,790 000 €,"160,20 m²",4 931 €/m²,Casas de Banho: 3,
7216,Porto,"Grijó e Sermonde, Vila Nova de Gaia, Porto",T2,129 500 €,91 m²,1 423 €/m²,Casas de Banho: 2,Usado
7217,Porto,"Mafamude e Vilar do Paraíso, Vila Nova de Gaia, Porto",T2,175 000 €,85 m²,2 059 €/m²,Casas de Banho: 2,Renovado
7218,Porto,"Mafamude e Vilar do Paraíso, Vila Nova de Gaia, Porto",T3,220 000 €,120 m²,1 833 €/m²,Casas de Banho: 2,Renovado
7219,Porto,"Aldoar, Foz do Douro e Nevogilde, Porto",T4,650 000 €,250 m²,2 600 €/m²,Casas de Banho: 3,Usado
7220,Coimbra,"Tavarede, Figueira da Foz, Coimbra",T3,275 000 €,135 m²,2 037 €/m²,Casas de Banho: 2,Usado
7221,Porto,"Gulpilhares e Valadares, Vila Nova de Gaia, Porto",T2,179 500 €,102 m²,1 760 €/m²,Casas de Banho: 2,Usado
7222,Setúbal,"Alcochete, Setúbal",T4,600 000 €,199 m²,3 015 €/m²,Casas de Banho: 3,Em construção
7223,Setúbal,"Alto do Seixalinho, Santo André e Verderena, Barreiro, Setúbal",T3,196 000 €,"118,98 m²",1 647 €/m²,Casas de Banho: 2,Novo
7224,Setúbal,"Alto do Seixalinho, Santo André e Verderena, Barreiro, Setúbal",T3,196 000 €,"118,98 m²",1 647 €/m²,Casas de Banho: 2,Novo
7225,Lisboa,"Avenidas Novas, Lisboa",T0,490 000 €,75 m²,6 533 €/m²,Casas de Banho: 1,Em construção
7226,Porto,"Paranhos, Porto",T4,410 000 €,123 m²,3 333 €/m²,Casas de Banho: 3,Usado
